borrower_id,income,net_worth,liquidity,credit_limit,loan_amount,collateral_value,margin_percentage,margin_value,ltv_ratio,asset_volatility,market_drop_sensitivity,interest_rate,payment_history_score,legal_risk_flag
31,105725,313160,199407,285892,96202,212506,0.6,127503.59999999999,0.7545041865484583,0.15,0.08,0.091,88,0
32,169981,629879,15965,248576,61663,485910,0.48,233236.8,0.2643793775253305,0.39,0.06,0.081,63,0
33,124654,270884,29538,33545,25708,194088,0.69,133920.72,0.1919643203829848,0.12,0.06,0.086,80,0
34,159346,73247,113066,185838,101906,289544,0.51,147667.44,0.6901047380519362,0.33,0.26,0.05,54,0
35,107435,74300,118252,81087,59811,400002,0.41,164000.81999999998,0.3646993960152151,0.37,0.23,0.042,84,0
36,96886,517281,144182,88840,143883,193714,0.66,127851.24,1.12539385617222,0.24,0.17,0.083,72,1
37,106803,657086,163338,138451,66250,35151,0.47,16520.969999999998,4.010055099670298,0.4,0.07,0.086,78,0
38,71551,583556,189064,59353,122547,464623,0.78,362405.94,0.3381484310108162,0.12,0.17,0.099,92,0
39,156216,398951,103806,213075,213154,86690,0.78,67618.2,3.152316979748056,0.12,0.17,0.059,60,0
40,51394,324329,142982,234283,134249,24499,0.77,18864.23,7.116590499585724,0.51,0.09,0.056,67,1
41,109092,769064,115989,85318,44754,26295,0.55,14462.250000000002,3.0945392314473885,0.28,0.16,0.084,96,1
42,43890,792139,95982,261025,236814,403029,0.41,165241.88999999998,1.433135387158789,0.16,0.15,0.054,61,0
43,81606,482315,126626,87172,247714,408215,0.77,314325.55,0.7880810198216467,0.36,0.2,0.095,58,0
44,127313,976075,124176,236688,152483,341184,0.57,194474.87999999998,0.7840755577275585,0.48,0.21,0.09,59,0
45,181699,566588,136278,276951,143983,294327,0.79,232518.33000000002,0.6192329009072102,0.21,0.06,0.06,93,0
46,48792,286584,127409,113264,208342,442515,0.79,349586.85000000003,0.5959663528533753,0.41,0.14,0.083,66,0
47,194969,612332,28419,266458,224835,163946,0.74,121320.04,1.8532387559384254,0.14,0.21,0.083,87,0
48,108148,887646,186708,245281,149752,398480,0.52,207209.6,0.7227078282087316,0.13,0.18,0.037,56,1
49,164243,426896,55015,132859,94896,52711,0.55,28991.050000000003,3.2732860658720533,0.37,0.26,0.093,95,0
50,160174,98984,127096,289536,224951,287683,0.74,212885.41999999998,1.0566764036729241,0.37,0.21,0.065,62,0
